"Provider Org name","total_decisions","total_admitted","total_failed_to_attend","total_removals","total_gp_referrals","total_other_referrals","total_first_seen","total_first_dna","total_subs_seen","total_subs_dna","quarter_start"
SHEFFIELD PCT,0,58,1,0,0,0,0,0,0,0,2011-04-01
INHEALTH LIMITED,0,0,0,0,1830,0,1186,183,1498,0,2015-04-01
NEW HALL HOSPITAL,1106,1585,0,81,1984,0,1821,68,6079,347,2018-04-01
BRADFORD DISTRICT CARE TRUST,0,205,0,0,369,0,345,0,0,0,2011-04-01
STOKE ON TRENT PCT,623,539,0,0,730,177,714,52,3308,394,2011-04-01
BMI - THE MANOR HOSPITAL,0,45,0,31,120,2,125,1,121,10,2013-07-01
BMI - THE CHAUCER HOSPITAL,378,439,0,76,278,286,578,24,808,66,2012-04-01
WEST MIDLANDS HOSPITAL,799,892,0,59,1340,0,1241,54,5893,214,2014-07-01
COBALT HOSPITAL,800,831,81,117,996,0,569,56,764,94,2018-07-01
PROVIDE,0,0,0,0,7,0,0,0,0,0,2018-07-01
EUXTON HALL HOSPITAL,1016,1021,0,133,1970,0,1804,0,4161,2,2012-10-01
SPIRE DUNEDIN HOSPITAL,0,266,0,0,346,0,411,0,488,0,2013-10-01
DUCHY HOSPITAL,1120,1300,4,88,1608,0,1623,37,4315,187,2014-10-01
BMI - THE CHILTERN HOSPITAL,220,243,0,43,312,7,330,5,514,6,2012-04-01
MOUNT STUART HOSPITAL,925,967,15,87,1497,0,1439,80,2325,228,2015-10-01
THE WESTBOURNE CENTRE,387,415,20,28,505,0,421,67,605,53,2016-10-01
OAKLANDS HOSPITAL,1107,1019,0,107,2389,0,2118,15,6630,17,2017-10-01
GEORGE ELIOT HOSPITAL NHS TRUST,3579,3294,111,533,8826,4593,11890,1049,27634,2679,2012-04-01
SOLENT NHS TRUST,0,0,0,0,1436,1268,1013,168,3899,452,2018-10-01
HERE,980,1197,8,171,1689,118,2051,166,6394,263,2019-10-01
SPIRE HARPENDEN HOSPITAL,0,449,0,0,747,0,585,0,1675,0,2019-10-01
COBALT HOSPITAL,1167,1306,32,20,1461,0,804,75,961,91,2014-01-01
CIRCLE BATH HOSPITAL,1054,1376,9,15,2132,4,2296,33,2204,173,2016-01-01
OAKLANDS HOSPITAL,1125,1214,1,98,2078,0,1861,14,6776,9,2017-01-01
MID YORKSHIRE HOSPITALS NHS TRUST,14118,12785,248,1695,26322,15844,32281,4109,78228,7157,2012-04-01
PENNINE ACUTE HOSPITALS NHS TRUST,17199,15180,586,2577,28596,24070,48714,4960,101332,16472,2012-04-01
NEW HALL HOSPITAL,1125,1544,0,82,1842,0,1694,57,5586,316,2018-01-01
PROVIDE,0,0,0,0,5,0,0,0,0,0,2019-01-01
"5 BOROUGHS PARTNERSHIP NHS FOUNDATION TRUST",0,0,0,0,15,1302,1357,247,5978,1140,2011-04-01
ABBEY GISBURNE PARK HOSPITAL,227,227,0,0,432,0,316,116,691,243,2011-04-01
AINTREE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,9094,8321,272,1536,15155,9560,17813,2604,42529,6508,2011-04-01
AIREDALE NHS FOUNDATION TRUST,2069,1857,22,278,8002,3366,10367,816,24698,2325,2011-04-01
ALDER HEY CHILDREN'S NHS FOUNDATION TRUST,2205,2360,21,9,5605,11490,10892,1591,22162,4804,2011-04-01
ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST,5198,4003,54,1121,19616,11135,24832,2749,47612,6118,2011-04-01
"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST",11746,9794,389,1642,21747,13903,31182,4030,64568,8460,2011-04-01
BARLBOROUGH NHS TREATMENT CENTRE,35,35,0,0,47,0,47,0,90,0,2011-04-01
BARNET AND CHASE FARM HOSPITALS NHS TRUST,13077,11245,126,2099,34128,21368,32136,3017,49759,6296,2011-04-01
"BARNET, ENFIELD AND HARINGEY MENTAL HEALTH NHS TRUST",480,480,0,0,0,0,565,145,3161,947,2011-04-01
BARNSLEY HOSPITAL NHS FOUNDATION TRUST,4406,3845,200,467,10712,6855,16984,1766,44935,4984,2011-04-01
BARTS AND THE LONDON NHS TRUST,11104,8003,179,2043,27086,29865,48851,5170,101737,15134,2011-04-01
BASILDON AND THURROCK UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,5971,5511,8,725,14903,10715,19835,2010,37808,6728,2011-04-01
BATH AND NORTH EAST SOMERSET PCT,0,0,0,0,498,694,928,136,2059,399,2011-04-01
BEDFORD HOSPITAL NHS TRUST,5863,5466,44,511,11760,4163,14091,946,25250,2591,2011-04-01
BEDFORDSHIRE PCT,0,0,0,0,160,116,196,38,282,43,2011-04-01
BERKSHIRE HEALTHCARE NHS FOUNDATION TRUST,0,0,0,0,58,31,85,8,666,35,2011-04-01
BIRMINGHAM AND SOLIHULL MENTAL HEALTH NHS FOUNDATION TRUST,0,0,0,0,1623,1244,1961,437,23157,6100,2011-04-01
BIRMINGHAM CHILDREN'S HOSPITAL NHS FOUNDATION TRUST,4059,3882,98,423,3994,4214,8068,939,21206,2607,2011-04-01
